Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,189.289993,189.720001,187.259995,188.399994,165.598755,1865000
2015-01-05,187.259995,187.410004,184.660004,185.089996,162.689362,2734700
2015-01-06,185.369995,185.880005,182.360001,183.270004,161.089691,2245300
2015-01-07,184.729996,185.910004,184.229996,185.559998,163.102448,2305600
2015-01-08,187.130005,189.050003,187.070007,188.820007,165.967911,1740600
2015-01-09,189.300003,189.339996,186.649994,187.229996,164.570374,2525200
2015-01-12,187.460007,187.600006,185.190002,185.839996,163.348587,1847500
2015-01-13,187.220001,188.410004,183.899994,185.350006,162.917908,2158500
2015-01-14,183.100006,184.399994,182.110001,184.259995,161.959793,5216300
2015-01-15,184.880005,185.250000,182.399994,182.539993,160.448029,1940700
2015-01-16,182.309998,185.080002,182.089996,184.800003,162.434479,1472800
2015-01-20,185.619995,185.899994,183.580002,185.259995,162.838791,1637600
2015-01-21,184.770004,186.740005,184.300003,186.229996,163.691422,1586500
2015-01-22,187.089996,189.149994,185.600006,189.080002,166.196472,6074900
2015-01-23,188.720001,189.020004,187.789993,188.039993,165.282349,3109800
2015-01-26,187.789993,188.509995,186.929993,188.410004,165.607574,2018000
2015-01-27,186.139999,187.179993,185.020004,185.940002,163.436493,1979100
2015-01-28,187.270004,187.320007,183.350006,183.490005,161.283005,2530800
2015-01-29,183.740005,185.529999,182.210007,185.270004,162.847595,4338200
2015-01-30,183.960007,185.380005,182.630005,182.990005,160.843552,2302500
2015-02-02,183.500000,185.259995,181.470001,185.089996,162.689362,3397800
2015-02-03,186.130005,187.860001,185.789993,187.789993,165.062592,1435000
2015-02-04,187.029999,188.350006,186.649994,187.149994,164.500076,1861200
2015-02-05,187.889999,189.190002,187.850006,189.050003,166.170074,1033800
2015-02-06,189.490005,190.050003,187.940002,188.520004,165.704254,1454700
2015-02-09,187.809998,188.589996,187.220001,187.660004,164.948349,2289300
2015-02-10,188.820007,189.929993,187.850006,189.660004,166.706314,1798000
2015-02-11,189.509995,190.229996,188.779999,189.789993,166.820557,1744400
2015-02-12,190.699997,191.649994,190.470001,191.550003,168.367538,2008500
2015-02-13,191.720001,192.440002,191.460007,192.389999,169.105896,1073100
2015-02-17,192.070007,192.880005,191.789993,192.699997,169.378342,1700400
2015-02-18,192.279999,192.779999,192.000000,192.740005,169.413498,1863000
2015-02-19,192.089996,192.970001,191.889999,192.610001,169.299255,1017600
2015-02-20,192.130005,193.820007,191.449997,193.779999,170.327621,1374000
2015-02-23,193.490005,193.729996,193.029999,193.729996,170.283676,1497700
2015-02-24,193.690002,194.490005,193.429993,194.300003,170.784729,1244200
2015-02-25,194.139999,194.649994,193.710007,194.089996,170.600159,1983600
2015-02-26,193.990005,194.149994,193.210007,193.869995,170.406784,994200
2015-02-27,193.770004,194.050003,193.190002,193.199997,169.817810,966600
2015-03-02,193.309998,194.470001,193.300003,194.470001,170.934158,1016600
2015-03-03,193.960007,194.020004,192.690002,193.639999,170.204590,1388100
2015-03-04,193.000000,193.050003,191.729996,192.830002,169.492645,1497500
2015-03-05,193.149994,193.330002,192.479996,193.039993,169.677200,1135800
2015-03-06,192.000000,192.550003,189.940002,190.309998,167.277664,1815600
2015-03-09,190.520004,191.470001,190.419998,191.119995,167.989563,1132000
2015-03-10,189.570007,189.630005,187.970001,187.979996,165.229584,2390500
2015-03-11,188.259995,188.470001,187.470001,187.539993,164.842865,1857500
2015-03-12,188.210007,190.000000,188.199997,189.960007,166.969955,2646900
2015-03-13,189.679993,189.789993,187.619995,188.800003,165.950378,1792200
2015-03-16,189.589996,191.380005,189.550003,191.380005,168.218140,1054700
2015-03-17,190.479996,191.130005,189.830002,190.729996,167.646759,1460900
2015-03-18,190.169998,193.759995,189.490005,193.000000,169.642105,2287400
2015-03-19,192.559998,192.850006,191.750000,192.110001,168.859772,1372000
2015-03-20,193.190002,194.389999,193.130005,193.850006,170.389175,1350100
2015-03-23,192.850006,193.490005,192.490005,192.520004,170.083511,707100
2015-03-24,192.380005,192.850006,191.330002,191.399994,169.094009,1587700
2015-03-25,191.639999,191.869995,188.570007,188.610001,166.629211,1216700
2015-03-26,187.880005,189.149994,187.149994,188.139999,166.213913,1906200
2015-03-27,188.039993,188.779999,187.830002,188.529999,166.558502,1837000
2015-03-30,189.750000,191.190002,189.720001,190.880005,168.634628,1414700
2015-03-31,189.979996,191.779999,189.169998,189.199997,167.150406,2765200
2015-04-01,189.169998,189.169998,187.470001,188.589996,166.611465,3379900
2015-04-02,188.470001,189.690002,188.270004,189.149994,167.106247,1803500
2015-04-06,188.229996,191.039993,188.089996,190.479996,168.281265,1242500
2015-04-07,190.479996,191.330002,189.970001,189.970001,167.830688,1372300
2015-04-08,190.240005,191.059998,189.809998,190.660004,168.440277,1412100
2015-04-09,190.449997,191.710007,189.960007,191.490005,169.173553,794800
2015-04-10,191.740005,192.570007,191.539993,192.539993,170.101135,1056900
2015-04-13,192.360001,193.039993,191.600006,191.669998,169.332550,1227800
2015-04-14,191.419998,192.220001,190.770004,192.020004,169.641830,2647800
2015-04-15,192.539993,193.419998,192.449997,192.899994,170.419220,934900
2015-04-16,192.550003,193.369995,192.300003,192.830002,170.357391,823300
2015-04-17,191.529999,191.770004,189.750000,190.589996,168.378448,2059300
2015-04-20,191.669998,192.699997,191.550003,192.330002,169.915680,1430300
2015-04-21,193.110001,193.259995,191.800003,192.139999,169.747787,1089500
2015-04-22,192.490005,193.279999,191.500000,193.089996,170.587051,1125400
2015-04-23,192.649994,194.259995,192.500000,193.589996,171.028793,956400
2015-04-24,194.020004,194.289993,193.520004,193.979996,171.373322,978300
2015-04-27,194.630005,194.740005,193.000000,193.210007,170.693100,898200
2015-04-28,193.169998,193.850006,191.940002,193.809998,171.223190,1103800
2015-04-29,192.809998,193.660004,192.139999,193.020004,170.525208,1408900
2015-04-30,192.399994,192.800003,190.320007,191.100006,168.829025,2506100
2015-05-01,191.960007,193.179993,191.850006,193.100006,170.595886,1921200
2015-05-04,193.639999,194.309998,193.500000,193.699997,171.125946,1060000
2015-05-05,193.399994,193.800003,191.330002,191.440002,169.129364,1138300
2015-05-06,192.089996,192.389999,189.529999,190.669998,168.449127,1588100
2015-05-07,190.589996,191.899994,190.240005,191.440002,169.129364,1320700
2015-05-08,193.300003,194.179993,193.229996,193.949997,171.346878,1322900
2015-05-11,193.929993,194.199997,192.960007,193.020004,170.525208,1090100
2015-05-12,192.149994,193.070007,191.229996,192.460007,170.030502,1852700
